user_id,product_id,user_rating
1,44,2.1
1,30,2.1
1,50,1.6
1,4,4.6
1,3,2.0
1,8,2.2
1,13,4.9
2,31,3.6
2,5,4.5
2,34,1.9
2,38,2.3
2,48,3.6
2,7,2.8
3,6,3.4
3,44,2.7
3,46,3.5
3,1,3.5
3,8,4.0
3,9,3.8
3,49,1.5
4,8,4.2
4,22,4.9
4,45,1.5
4,43,2.1
4,18,2.8
4,46,3.7
4,3,1.4
5,36,3.6
5,37,3.9
5,40,2.9
5,10,1.3
5,48,3.8
5,43,4.9
5,19,3.7
6,18,4.4
6,11,3.7
6,35,1.4
6,20,4.7
6,19,3.4
6,17,4.6
6,29,1.3
7,11,3.6
7,49,3.6
7,32,3.9
7,22,2.8
7,37,4.5
7,35,4.4
8,47,3.1
8,33,2.8
8,25,2.6
8,39,4.9
8,29,4.8
8,9,1.9
8,11,1.8
9,20,2.2
9,22,3.9
9,37,4.0
9,24,4.5
9,47,3.5
9,9,1.6
9,13,3.8
10,24,3.8
10,25,4.8
10,46,3.2
10,21,3.8
10,4,2.7
10,3,1.3
10,35,3.4
10,19,2.5
10,31,3.0
10,41,4.9
11,42,4.2
11,43,1.9
11,30,4.8
11,15,2.8
11,18,1.6
11,4,3.1
11,38,2.3
12,24,1.4
12,7,3.0
12,22,3.9
12,12,1.3
12,46,1.7
12,27,4.3
12,16,3.6
12,2,4.3
12,31,2.8
12,49,3.3
13,38,1.6
13,19,3.4
13,37,1.7
13,30,4.6
13,1,4.2
13,34,4.7
13,9,5.0
14,9,1.2
14,4,1.8
14,19,3.2
14,16,1.8
14,10,3.0
14,14,2.7
14,2,4.2
14,39,2.7
14,24,1.7
14,36,2.4
15,28,4.0
15,40,1.0
15,29,1.5
15,24,2.7
15,8,3.7
15,3,4.4
16,45,2.4
16,31,2.9
16,29,3.2
16,1,3.0
16,32,2.3
16,33,4.0
16,4,1.9
16,3,1.9
17,25,1.3
17,1,3.9
17,6,1.9
17,22,4.7
17,47,2.0
17,14,3.1
17,41,3.3
17,19,3.0
17,5,4.8
18,1,4.6
18,24,3.1
18,12,1.2
18,47,4.9
18,10,2.9
18,25,1.8
18,30,3.3
19,50,2.6
19,46,4.8
19,18,2.1
19,8,4.8
19,4,4.3
19,13,3.1
19,37,2.4
20,26,3.8
20,35,3.8
20,47,1.0
20,37,3.4
20,8,2.8
20,9,3.3
20,11,2.7
21,14,4.7
21,26,3.6
21,37,4.9
21,6,4.3
21,17,3.5
21,28,1.3
21,8,4.9
22,36,1.7
22,8,2.8
22,37,3.9
22,17,4.3
22,3,1.9
22,35,4.1
23,40,1.1
23,16,2.6
23,32,4.7
23,8,2.8
23,35,2.1
23,9,3.6
24,12,4.8
24,11,1.5
24,30,4.9
24,7,4.4
24,29,1.2
24,24,2.2
24,21,2.9
25,3,3.1
25,22,3.9
