userId,itemId,rating
1,1,5.0
1,778,5.0
1,1365,5.0
1,1559,5.0
1,778,5.0
1,1365,5.0
1,1559,5.0
1,778,5.0
1,1365,5.0
1,1559,5.0
1,778,5.0
1,1365,5.0
1,1559,5.0
1,49,5.0
1,49,5.0
1,12221,4.0
1,2402,5.0
1,7561,2.0
1,9257,4.0
1,410,4.0
1,5871,5.0
1,3725,5.0
1,2431,5.0
1,5936,5.0
1,7235,5.0
1,1273,2.0
1,5257,5.0
1,337,5.0
1,1998,5.0
1,11755,5.0
1,4763,4.0
1,2554,5.0
1,2554,5.0
1,9282,5.0
1,5114,4.0
1,3154,4.0
1,3154,4.0
1,1872,5.0
1,7930,5.0
1,2325,5.0
1,4664,5.0
1,3252,5.0
1,5936,5.0
1,5856,5.0
1,1129,4.0
1,3686,5.0
1,3493,5.0
1,3219,5.0
1,2759,5.0
1,93,5.0
1,516,5.0
1,1955,5.0
1,52,5.0
1,13814,3.0
1,986,5.0
1,2331,5.0
1,13878,5.0
1,1992,5.0
1,11853,5.0
1,1990,5.0
1,11853,5.0
1,1990,5.0
1,711,5.0
1,13943,5.0
1,874,5.0
1,598,5.0
1,3338,5.0
1,13510,1.0
1,3319,5.0
1,3319,5.0
1,7099,1.0
1,4810,5.0
1,3798,5.0
1,946,3.0
1,193,5.0
1,3055,5.0
1,946,4.0
1,584,5.0
1,4820,5.0
1,7235,5.0
1,695,5.0
1,13334,4.0
1,4660,5.0
1,13350,4.0
1,4606,5.0
1,2766,3.0
1,2664,5.0
1,2563,5.0
1,327,4.0
1,4329,2.0
1,5126,4.0
1,11430,5.0
1,314,5.0
1,280,5.0
1,1503,5.0
1,4853,5.0
1,3016,4.0
1,3016,4.0
1,1130,5.0
1,576,5.0
1,630,5.0
1,1130,5.0
1,4853,5.0
1,402,5.0
1,438,5.0
1,1540,4.0
1,7918,5.0
1,11430,5.0
1,6119,5.0
1,2455,5.0
1,2535,5.0
1,4853,5.0
1,1503,5.0
1,1130,5.0
1,605,5.0
1,8005,3.0
1,1503,5.0
1,217,5.0
1,1338,5.0
1,487,5.0
1,11351,5.0
1,11348,1.0
2,9881,5.0
2,8492,5.0
2,475,5.0
2,4392,5.0
2,1785,4.0
2,4392,5.0
2,1215,4.0
2,1215,4.0
2,2810,4.0
2,443,5.0
2,443,5.0
2,3790,5.0
2,2,5.0
2,899,5.0
2,6985,3.0
2,51,3.0
2,51,3.0
2,13375,5.0
2,2377,5.0
2,130,5.0
2,2427,5.0
2,146,5.0
2,3236,5.0
2,5848,3.0
2,10998,5.0
3,1901,5.0
3,1904,4.0
3,1062,4.0
3,2535,5.0
3,9725,5.0
3,3,5.0
3,446,5.0
3,2287,3.0
3,11009,5.0
3,1223,5.0
3,1223,5.0
3,7028,1.0
3,13246,5.0
3,5597,5.0
3,4525,5.0
3,12935,2.0
3,12865,5.0
3,204,4.0
3,12678,5.0
3,7393,5.0
3,1619,5.0
3,732,5.0
3,308,4.0
3,6722,5.0
3,8988,5.0
3,1223,5.0
3,1223,5.0
3,3003,3.0
3,258,4.0
3,308,4.0
3,3675,3.0
3,8529,5.0
3,12540,3.0
3,6682,4.0
4,312,3.0
4,312,3.0
4,169,5.0
4,178,5.0
4,2010,2.0
4,378,5.0
4,1939,5.0
4,1946,5.0
4,1215,4.0
4,5349,4.0
4,287,5.0
4,1215,4.0
4,938,5.0
4,5259,5.0
4,4376,5.0
4,4150,5.0
4,4376,5.0
4,938,5.0
4,8743,3.0
4,1351,5.0
4,607,4.0
4,11712,5.0
4,3869,5.0
4,2089,5.0
4,1508,5.0
4,1565,5.0
4,3608,4.0
4,378,5.0
4,8172,1.0
4,11154,4.0
4,8780,4.0
4,4614,4.0
4,317,5.0
4,1061,5.0
4,3923,4.0
4,4549,5.0
4,3204,4.0
4,12305,4.0
4,4150,5.0
4,1946,5.0
4,1339,4.0
4,242,4.0
4,1939,5.0
4,378,5.0
4,287,5.0
4,8172,1.0
4,178,5.0
4,4104,4.0
4,4104,4.0
4,4086,5.0
4,4150,5.0
4,1946,5.0
4,5095,4.0
4,1939,5.0
4,287,5.0
4,178,5.0
4,5259,5.0
4,3881,4.0
4,4979,5.0
4,2322,4.0
4,10981,5.0
4,2614,3.0
4,4251,5.0
4,3580,5.0
4,2727,4.0
4,5474,5.0
4,9247,2.0
4,167,5.0
4,11593,5.0
4,3224,4.0
4,3580,5.0
4,5126,1.0
4,13647,4.0
4,525,1.0
4,1367,3.0
4,2444,5.0
4,2663,5.0
4,2444,5.0
4,4,5.0
4,3324,5.0
4,3324,5.0
4,5459,5.0
5,1637,4.0
5,640,3.0
5,11367,5.0
5,12899,5.0
5,2355,1.0
5,1566,1.0
5,107,3.0
5,9470,2.0
5,2722,4.0
5,9470,2.0
5,1172,5.0
5,1172,5.0
5,2220,4.0
5,9119,3.0
5,4599,5.0
5,11601,5.0
5,3880,3.0
5,416,5.0
5,3798,3.0
5,3892,5.0
5,6112,3.0
5,3743,5.0
5,9227,5.0
5,7911,5.0
5,13588,3.0
5,3914,5.0
5,3914,5.0
5,2054,5.0
5,2335,5.0
5,11787,5.0
5,13205,4.0
5,522,5.0
5,8430,5.0
5,13719,5.0
5,161,5.0
5,396,3.0
5,1037,5.0
5,396,3.0
5,159,5.0
5,2082,5.0
5,9019,5.0
5,3453,2.0
5,6105,2.0
5,13786,5.0
5,2269,5.0
5,2589,5.0
5,300,5.0
5,10881,4.0
5,6962,4.0
5,3434,5.0
5,2034,5.0
5,2495,5.0
5,3549,4.0
5,12437,4.0
5,6250,5.0
5,10712,5.0
5,1977,5.0
5,3964,4.0
5,3866,5.0
5,3964,4.0
5,4642,5.0
5,5856,4.0
5,3701,5.0
5,5871,4.0
5,3117,5.0
5,661,5.0
5,5161,5.0
5,854,5.0
5,388,5.0
5,12382,5.0
5,7338,1.0
5,2870,1.0
5,10026,5.0
5,11218,5.0
5,316,5.0
5,8775,1.0
5,5031,1.0
5,300,5.0
5,9812,5.0
5,9813,5.0
5,9826,2.0
5,8025,5.0
5,11225,5.0
5,667,5.0
5,667,5.0
5,11225,5.0
5,4810,5.0
5,7581,5.0
5,1174,3.0
5,6785,5.0
5,1174,3.0
5,9986,5.0
5,11524,4.0
5,233,5.0
5,933,5.0
5,1705,5.0
5,6593,1.0
5,12674,5.0
5,3730,2.0
5,3644,2.0
5,5115,5.0
5,132,5.0
5,1131,5.0
5,1645,4.0
5,11131,1.0
5,13288,5.0
5,9015,5.0
5,1079,5.0
5,10222,5.0
5,13300,5.0
5,316,5.0
5,2477,4.0
5,4694,5.0
5,4686,5.0
5,4674,4.0
5,3065,5.0
5,4617,5.0
5,250,4.0
5,12598,5.0
5,3661,5.0
5,9147,5.0
5,3738,3.0
5,5433,5.0
5,6583,2.0
5,9702,5.0
5,5416,5.0
5,8257,5.0
5,3255,4.0
5,3969,1.0
5,3969,1.0
5,6327,4.0
5,3432,5.0
5,10222,5.0
5,130,5.0
5,3613,3.0
5,13300,5.0
5,1804,5.0
5,5806,1.0
5,12224,2.0
5,3959,5.0
5,3959,5.0
5,5492,5.0
5,4862,5.0
5,6020,5.0
5,5413,5.0
5,1626,5.0
5,505,5.0
5,5,5.0
5,47,4.0
5,27,4.0
6,7392,3.0
6,13190,3.0
6,1531,5.0
6,7554,5.0
6,6,4.0
6,7505,5.0
6,698,5.0
6,1456,5.0
6,4994,1.0
6,12983,1.0
6,3768,5.0
6,1406,5.0
6,1230,5.0
6,931,5.0
6,489,5.0
6,1420,5.0
6,1414,5.0
6,1409,5.0
6,1458,5.0
6,931,5.0
6,667,5.0
6,667,5.0
6,1230,5.0
6,13816,2.0
7,35,4.0
7,835,5.0
7,25,5.0
7,1149,5.0
7,5825,5.0
7,131,4.0
7,32,4.0
7,128,4.0
7,145,5.0
7,7,4.0
7,98,5.0
7,114,3.0
7,5422,5.0
7,32,4.0
7,7,4.0
7,145,5.0
7,5755,5.0
7,11886,5.0
8,4713,2.0
8,8,1.0
8,3930,5.0
8,5957,5.0
8,4225,2.0
8,5283,5.0
8,7806,1.0
8,9895,5.0
8,7726,5.0
8,1254,5.0
8,10687,5.0
8,8,1.0
8,3680,3.0
8,7666,5.0
8,4795,4.0
8,3680,3.0
8,7666,5.0
8,5453,5.0
8,159,5.0
8,10687,5.0
8,254,5.0
8,254,5.0
9,9,4.0
9,3348,5.0
9,13594,5.0
9,6158,5.0
9,6290,3.0
9,3734,1.0
9,11299,1.0
9,4554,2.0
9,4554,2.0
9,11346,5.0
9,12516,2.0
9,13943,5.0
9,11944,5.0
9,13593,5.0
9,10270,5.0
9,6946,5.0
9,6623,5.0
9,986,2.0
9,4684,5.0
9,7311,5.0
9,1624,5.0
9,6688,5.0
9,1597,5.0
9,2664,5.0
10,2507,5.0
10,1548,3.0
10,2063,5.0
10,129,5.0
10,1388,3.0
10,13852,5.0
10,10323,4.0
10,2063,5.0
10,5518,2.0
10,9140,2.0
10,1538,4.0
10,1538,5.0
10,4538,5.0
10,11594,4.0
10,1538,5.0
10,8182,5.0
10,4538,5.0
10,1388,3.0
10,3924,4.0
10,1254,5.0
10,4912,5.0
10,2429,5.0
10,3295,5.0
10,1388,3.0
10,1548,3.0
10,9800,1.0
10,151,5.0
10,5770,1.0
10,5590,5.0
10,2824,2.0
10,4979,5.0
10,317,5.0
10,4345,2.0
10,818,5.0
10,2429,5.0
10,1427,3.0
10,1538,4.0
10,2788,5.0
10,2781,5.0
10,4897,5.0
10,4020,5.0
10,6461,4.0
10,9068,5.0
10,4378,5.0
10,8731,5.0
10,7567,5.0
10,8034,5.0
10,7095,5.0
10,4378,5.0
10,9384,5.0
10,12057,5.0
10,1548,3.0
10,5109,5.0
10,5504,3.0
10,152,5.0
10,1729,5.0
10,5965,5.0
10,5720,5.0
10,3312,3.0
10,3003,5.0
10,1667,5.0
10,2010,5.0
10,365,4.0
10,4401,5.0
10,391,4.0
10,602,5.0
10,13014,5.0
10,5326,5.0
10,5320,5.0
10,4904,5.0
10,10,5.0
10,5326,5.0
10,3009,5.0
10,1464,2.0
10,7806,4.0
10,3009,5.0
10,3542,5.0
10,4568,5.0
10,2554,5.0
10,13290,5.0
10,2528,5.0
10,1907,1.0
10,4170,5.0
10,4891,5.0
10,2554,5.0
10,4406,5.0
10,10364,5.0
10,4891,5.0
10,4183,5.0
10,12182,1.0
10,4948,5.0
10,13793,3.0
10,4904,5.0
10,2968,5.0
10,7187,1.0
10,6682,5.0
10,9577,3.0
10,1603,3.0
10,239,5.0
10,239,5.0
